question,answer
"האם יש הבדל בין צו 8 לצווים רגילים ב2026?","בעבר היה הבדל משמעותי בין הצווים, אם כי מ-2026 הצווים זהים לחלוטין בזכויות והזכאויות שלהם. חשוב לומר שכרגע ניתן להגיש החזרים לקרן הסיוע רק עם צו 8."
"האם משלמים שכר מילואים בשישי שבת?","כן! גם על שישי שבת יש תשלום, ראשית מבחינת השכר עצמו וגם מבחינת כל ההטבות והזכויות."
"איך מחשבים שכר מילואים?","שכר מילואים מחושב על בסיס השכר שלך ממקום העבודה. ביטוח לאומי משלם למעסיק את עלות השכר ליום עבודה כפול מספר הימים."
"מתי אפשר להגיש בקשות להחזרים?","ניתן להגיש בקשות לקרן הסיוע באופן שוטף. מומלץ להגיש בהקדם האפשרי לאחר סיום הצו."
"איך אפשר ליצור קשר עם קרן הסיוע?","ניתן ליצור קשר עם קרן הסיוע דרך האתר שלהם, בטלפון, או דרך מוקד מילואים 360."
"האם אפשר לקבוע שיחה אישית כדי שאעבור על כל הזכויות שלי?","כן, ניתן לתאם שיחה אישית עם מומחה זכויות מילואים לסקירה מלאה."
"מי אחראי לתבוע את השכר שלי אם אני עצמאי/שכיר?","אם אתה שכיר - המעסיק שלך אחראי לתבוע את השכר מביטוח לאומי. אם אתה עצמאי - אתה צריך לפנות ישירות לביטוח לאומי."
"איך מגיע לידי ביטוי 40% תוספת של ביטוח לאומי?","התוספת של 40% מביטוח לאומי מגיעה באופן אוטומטי ומתווספת לשכר המילואים שלך."
"האם יש הגבלה לביצוע ימים בשנה?","ישנן הגבלות שונות בהתאם לסוג הצו ולנסיבות. באופן כללי, ישנה מכסה שנתית אך ניתן לחרוג ממנה באישור."
"האם יש הגבלה בכמות הסיפוחים שניתן לבצע בשנה?","ישנן הגבלות על כמות הסיפוחים, יש לבדוק מול הגורמים המוסמכים."
"האם מותר לעבוד תוך כדי מילואים?","באופן עקרוני לא מומלץ ויכולות להיות השלכות משפטיות. יש לבדוק את הנושא מול הגורמים המוסמכים."
"אחרי שאישרו לי את התשלום, מתי הכסף אמור להיכנס?","בדרך כלל התשלום נכנס בתוך חודש מרגע האישור, בהתאם למועדי גזירת השכר."
"איך אני יודע איזה מדרג אני?","ניתן לבדוק את המדרג שלך באתר מילואים או דרך מוקד מילואים 360. המדרג מבוסס על כמות ימי המילואים המצטברים שלך."
"כמה ימי מילואים צריך לעשות השנה כדי לקבל את רוב הזכויות?","ככל שתבצע יותר ימים, כך תהיה זכאי ליותר הטבות. רף של 20 ימים פותח חלק משמעותי מההטבות, ורף של 45 ימים מצטברים פותח הטבות נוספות."
"האם מותר לטוס על ימי התארגנות בסיום צו?","אם אתם בדרג א'+, א' או ב', ואישרתם מול המפקדים והשלישות כי אתם טסים על ימי ההתארגנות תוך כדי שהצו פתוח, התשובה היא כן."